Head,Account,Type,Sub-head (Code),Sub-head,ExpenditureComponent
90,Operating Account,Recurrent,295,Contribution to the Occupational Deafness Compensation Board,Other Charges
90,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
91,Operating Account,Recurrent,3,Recoverable salaries and allowances (General),Personal Emoluments
91,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
91,Operating Account,Recurrent,221,Clearance of government land - ex-gratia allowances,Other Charges
91,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
91,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
92,Operating Account,Recurrent,234,Court costs,Departmental Expenses
92,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
92,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
94,Operating Account,Recurrent,208,Legal aid costs,Subventions
95,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
95,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
95,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
95,Capital Account,"Plant, Equipment and Works",677,Acquiring museum collections and commissioning art and cultural projects,Departmental Expenses
95,Capital Account,Subventions,863,Non-government organisation camps (block vote),Subventions
96,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
100,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
100,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
100,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
106,Operating Account,Recurrent,251,Additional commitments,Other Charges
106,Operating Account,Recurrent,284,Compensation,Other Charges
106,Operating Account,Non-Recurrent,789,Additional commitments,Other Charges
106,Operating Account,Non-Recurrent,825,Contribution to the 11th replenishment of theAsian Development Fund,Other Charges
106,Operating Account,Non-Recurrent,826,Contribution to the 12th replenishment of the Asian Development Fund,Other Charges
106,Operating Account,Non-Recurrent,827,Contribution to the 13th replenishment of the Asian Development Fund,Other Charges
106,Capital Account,"Plant, Equipment and Works",689,Additional commitments,Departmental Expenses
112,Operating Account,Recurrent,366,Remuneration and reimbursements for Members of the Legislative Council,Personal Emoluments
112,Operating Account,Non-Recurrent,,General non-recurrent,Other Charges
112,Capital Account,Subventions,872,Non-recurrent expenses reimbursements for Members of the Legislative Council,Subventions
112,Capital Account,Subventions,885,Legislative Council Commission,Subventions
116,Operating Account,Non-Recurrent,,General non-recurrent,Other Charges
118,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
120,Operating Account,Recurrent,15,Public and judicial service pension benefits and compensation,Personal Emoluments
120,Operating Account,Recurrent,16,Contract gratuities,Other Charges
120,Operating Account,Recurrent,17,Surviving spouses¡¦ and children¡¦s pensions and widows¡¦ and orphans¡¦ pensions,Subventions
120,Operating Account,Recurrent,18,"Volunteer and defence force pensions, allowances and grants",Personal Emoluments
120,Operating Account,Recurrent,21,"Ex-gratia pensions, awards and allowances",Personal Emoluments
120,Operating Account,Recurrent,26,"Employees' compensation, injury, incapacity and death related payments and expenses",Personal Emoluments
122,Operating Account,Recurrent,103,Rewards and special services,Other Charges
122,Operating Account,Recurrent,207,"Expenses of witnesses, prisoners and deportees",Other Charges
122,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
122,Capital Account,"Plant, Equipment and Works",614,"Alterations, additions and improvements to in-service Marine Police craft (block vote)",Departmental Expenses
122,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
122,Capital Account,"Plant, Equipment and Works",695,Police specialised vehicles (block vote),Departmental Expenses
132,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
132,Capital Account,"Plant, Equipment and Works",,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
132,Capital Account,Subventions,942,Hong Kong Academy for Performing Arts,Subventions
132,Capital Account,Subventions,973,Hong Kong Academy for Performing Arts (block vote),Subventions
135,Operating Account,Non-Recurrent,,General non-recurrent,Other Charges
135,Capital Account,"Plant, Equipment and Works",697,TechConnect (block vote),Departmental Expenses
137,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
137,Capital Account,"Plant, Equipment and Works",,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
138,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
140,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
140,Capital Account,Subventions,899,"Prince Philip Dental Hospital - minor plant, vehicles, equipment, maintenance, and improvement (block vote)",Subventions
140,Capital Account,Subventions,979,Hospital Authority - equipment and information systems (block vote),Subventions
141,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
141,Capital Account,Subventions,864,Shine Skills Centres (block vote),Subventions
142,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
144,Capital Account,Subventions,88B,"Office of the Privacy Commissioner for Personal Data - minor plant, vehicles and equipment (block vote)",Subventions
144,Capital Account,Subventions,,"Equal Opportunities Commission - minor plant, vehicles and equipment (block vote)",Subventions
147,Operating Account,Recurrent,281,Air passenger departure tax administration fees,Departmental Expenses
147,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
148,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
151,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
151,Capital Account,"Plant, Equipment and Works",,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
152,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
152,Capital Account,Subventions,955,Consumer Council,Subventions
152,Capital Account,Subventions,970,Consumer Council (block vote),Subventions
152,Capital Account,Subventions,,Hong Kong Trade Development Council,Subventions
155,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
155,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
155,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
156,Operating Account,Recurrent,3,Recoverable salaries and allowances (General),Personal Emoluments
156,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
156,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
156,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
156,Capital Account,Subventions,871,Vocational Training Council,Subventions
156,Capital Account,Subventions,898,Codes of Aid for existing schools - furniture and equipment (block vote),Subventions
156,Capital Account,Subventions,900,"Codes of Aid for existing schools - maintenance, repairs and minor improvement (block vote)",Subventions
156,Capital Account,Subventions,976,Vocational Training Council (block vote),Subventions
158,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
158,Capital Account,"Plant, Equipment and Works",,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
159,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
159,Capital Account,"Plant, Equipment and Works",600,Works,Departmental Expenses
159,Capital Account,"Plant, Equipment and Works",653,Restoration of historic buildings (block vote),Departmental Expenses
159,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
159,Capital Account,"Plant, Equipment and Works",694,Archaeological excavations (block vote),Departmental Expenses
160,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
160,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
162,Capital Account,"Plant, Equipment and Works",,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
166,Operating Account,Recurrent,200,Insurance of aircraft,Other Charges
166,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
166,Capital Account,"Plant, Equipment and Works",631,"Aircraft components, component overhaul and safety equipment (block vote)",Departmental Expenses
166,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
168,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
170,Operating Account,Recurrent,3,Recoverable salaries and allowances (General),Personal Emoluments
170,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
170,Operating Account,Recurrent,157,Assistance for patients and their families,Subventions
170,Operating Account,Recurrent,176,Criminal and law enforcement injuries compensation,Subventions
170,Operating Account,Recurrent,177,Emergency relief,Subventions
170,Operating Account,Recurrent,179,Comprehensive social security assistance scheme,Subventions
170,Operating Account,Recurrent,180,Social security allowance scheme,Subventions
170,Operating Account,Recurrent,184,Traffic accident victims assistance scheme,Subventions
170,Operating Account,Recurrent,187,Agents' commission and expenses,Personal Emoluments
170,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
170,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
173,Operating Account,Recurrent,199,Working family allowance,Subventions
173,Operating Account,Recurrent,228,Student financial assistance,Subventions
173,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
180,Capital Account,"Plant, Equipment and Works",,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
181,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
184,Capital Account,Transfers to Funds,990,Payment to the Disaster Relief Fund,Other Charges
184,Capital Account,Transfers to Funds,992,Payment to the Innovation and Technology Fund,Innovation and Technology Fund
186,Operating Account,Recurrent,166,Government Public Transport Fare Concession Scheme for the Elderly and Eligible Persons with Disabilities,Subventions
186,Operating Account,Recurrent,256,Public Transport Fare Subsidy Scheme,Subventions
186,Operating Account,Recurrent,260,Provision of Special Helping Measures for Outlying Island Ferry Routes,Other Charges
186,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
186,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
186,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
186,Capital Account,Subventions,927,Rehabus services (block vote),Subventions
188,Operating Account,Recurrent,3,Recoverable salaries and allowances (General),Personal Emoluments
188,Operating Account,Recurrent,,Deduct reimbursement,Personal Emoluments
188,Operating Account,Recurrent,187,Agents' commission and expenses,Personal Emoluments
190,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
194,Operating Account,Recurrent,223,Purchase of water,Departmental Expenses
194,Operating Account,Non-Recurrent,700,General non-recurrent,Other Charges
194,Capital Account,"Plant, Equipment and Works",603,"Plant, vehicles and equipment",Departmental Expenses
194,Capital Account,"Plant, Equipment and Works",661,"Minor plant, vehicles and equipment (block vote)",Departmental Expenses
